freq,vadc,iadc,volts,curr,imp,pow

 56001,     0,     0,     0,     0,     0,     0
 56002,     0,     0,     0,     0,     0,     0
 56003,     0,     0,     0,     0,     0,     0
 56004,     0,     0,     0,     0,     0,     0
 56005,     0,     0,     0,     0,     0,     0
 56006,     0,     0,     0,     0,     0,     0
 56007,     0,     0,     0,     0,     0,     0
 56008,     0,     0,     0,     0,     0,     0
 56009,     0,     0,     0,     0,     0,     0
 56010,     0,     0,     0,     0,     0,     0
 56011,     0,     0,     0,     0,     0,     0
 56012,     0,     0,     0,     0,     0,     0
 56013,     0,     0,     0,     0,     0,     0
 56014,     0,     0,     0,     0,     0,     0
 56015,     0,     0,     0,     0,     0,     0
 56016,     0,     0,     0,     0,     0,     0
 56017,     0,     0,     0,     0,     0,     0
 56018,     0,     0,     0,     0,     0,     0
 56019,     0,     0,     0,     0,     0,     0
 56020,     0,     0,     0,     0,     0,     0
 56021,     0,     0,     0,     0,     0,     0
 56022,     0,     0,     0,     0,     0,     0
 56023,     0,     0,     0,     0,     0,     0
 56024,     0,     0,     0,     0,     0,     0
 56025,     0,     0,     0,     0,     0,     0
 56026,     0,     0,     0,     0,     0,     0
 56027,     0,     0,     0,     0,     0,     0
 56028,     0,     0,     0,     0,     0,     0
 56029,     0,     0,     0,     0,     0,     0
 56030,     0,     0,     0,     0,     0,     0
 56031,     0,     0,     0,     0,     0,     0
 56032,     0,     0,     0,     0,     0,     0
 56033,     0,     0,     0,     0,     0,     0
 56034,     0,     0,     0,     0,     0,     0
 56035,     0,     0,     0,     0,     0,     0
 56036,     0,     0,     0,     0,     0,     0
 56037,     0,     0,     0,     0,     0,     0
 56038,     0,     0,     0,     0,     0,     0
 56039,     0,     0,     0,     0,     0,     0
 56040,     0,     0,     0,     0,     0,     0
 56039,     0,     0,     0,     0,     0,     0
 56040,     0,     0,     0,     0,     0,     0
 56041,     0,     0,     0,     0,     0,     0
 56042,     0,     0,     0,     0,     0,     0
 56043,     0,     0,     0,     0,     0,     0
 56044,     0,     0,     0,     0,     0,     0
 56045,     0,     0,     0,     0,     0,     0
 56046,     0,     0,     0,     0,     0,     0
 56047,     0,     0,     0,     0,     0,     0
 56048,     0,     0,     0,     0,     0,     0
 56049,     0,     0,     0,     0,     0,     0
 56050,     0,     0,     0,     0,     0,     0
 56051,     0,     0,     0,     0,     0,     0
 56052,     0,     0,     0,     0,     0,     0
 56053,     0,     0,     0,     0,     0,     0
 56054,     0,     0,     0,     0,     0,     0
 56055,     0,     0,     0,     0,     0,     0
 56056,     0,     0,     0,     0,     0,     0
 56057,     0,     0,     0,     0,     0,     0
 56058,     0,     0,     0,     0,     0,     0
 56059,     0,     0,     0,     0,     0,     0
 56060,     0,     0,     0,     0,     0,     0
 56061,     0,     0,     0,     0,     0,     0
 56062,     0,     0,     0,     0,     0,     0
 56063,     0,     0,     0,     0,     0,     0
 56064,     0,     0,     0,     0,     0,     0
 56065,     0,     0,     0,     0,     0,     0
 56066,     0,     0,     0,     0,     0,     0
 56067,     0,     0,     0,     0,     0,     0
 56068,     0,     0,     0,     0,     0,     0
 56069,     0,     0,     0,     0,     0,     0
 56070,     0,     0,     0,     0,     0,     0
 56071,     0,     0,     0,     0,     0,     0
 56072,     0,     0,     0,     0,     0,     0
 56073,     0,     0,     0,     0,     0,     0
 56074,     0,     0,     0,     0,     0,     0
 56075,     0,     0,     0,     0,     0,     0
 56076,     0,     0,     0,     0,     0,     0
 56077,     0,     0,     0,     0,     0,     0
 56078,     0,     0,     0,     0,     0,     0
 56079,     0,     0,     0,     0,     0,     0
 56080,     0,     0,     0,     0,     0,     0
 56081,     0,     0,     0,     0,     0,     0
 56082,     0,     0,     0,     0,     0,     0
 56083,     0,     0,     0,     0,     0,     0
 56084,     0,     0,     0,     0,     0,     0
 56085,     0,     0,     0,     0,     0,     0
 56086,     0,     0,     0,     0,     0,     0
 56087,     0,     0,     0,     0,     0,     0
 56088,     0,     0,     0,     0,     0,     0
 56089,     0,     0,     0,     0,     0,     0
 56090,     0,     0,     0,     0,     0,     0
 56091,     0,     0,     0,     0,     0,     0
 56092,     0,     0,     0,     0,     0,     0
 56093,     0,     0,     0,     0,     0,     0
 56094,     0,     0,     0,     0,     0,     0
 56095,     0,     0,     0,     0,     0,     0
 56096,     0,     0,     0,     0,     0,     0
 56097,     0,     0,     0,     0,     0,     0
